meeting_date,publish_date_raw,title,description,detail_url,solr_id,categories,text_source,pdf_url,full_text_chars,repo_rate_widget_pct,inflation_headline_widget_pct,rate_action,rate_change_bps,policy_rate_pct,rate_raw_sentence,vote_unanimous,vote_breakdown_json,vote_raw_sentence,raw_text_file,scrape_status,error_message,policy_rate_source,in_scope_inflation_targeting,policy_rate_final,rate_action_final,rate_source_final,is_english
1999-10-13,"Oct 13, 1999, 2:00:00 AM",1999-10-13: Statement released by the SA Reserve Bank after the deliberations at the First meeting of the Bank's Monetary Policy Committee,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/1999/4345,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/1999/4345,Statements > Monetary Policy Statements,html,,22277,,,cut,,,"The repurchase rate at first dropped sharply immediately after the prime rate was reduced, but from the end of September this decline has become more subdued.",,[],,data\raw_texts\1999-10-13_4345.txt,ok,,,False,,,out_of_scope_pre_inflation_targeting,True
1999-10-13,"Oct 13, 1999, 2:00:00 AM","1999-10-13: Opening statement by Mr Tito Mboweni, Governor of the South African Reserve Bank, at the inaugural meeting of the Monetary Policy Committee (MPC)",---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/1999/4346,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/1999/4346,Statements > Monetary Policy Statements,html,,13417,,,,,,,,[],,data\raw_texts\1999-10-13_4346.txt,ok,,,False,,,out_of_scope_pre_inflation_targeting,True
1999-11-24,"Nov 24, 1999, 2:00:00 AM","1999-11-24: Statement of the Monetary Policy Committee : detailed assessment of international economic conditions, domestic economic developments and the monetary policy stance",---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/1999/4344,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/1999/4344,Statements > Monetary Policy Statements,html,,24435,,,,,,,,[],,data\raw_texts\1999-11-24_4344.txt,ok,,,False,,,out_of_scope_pre_inflation_targeting,True
1999-11-24,"Nov 24, 1999, 2:00:00 AM","1999-11-24: Opening statement by Mr Tito Mboweni, Governor of the South African Reserve Bank, at the second meeting of the Monetary Policy Committee (MPC), Pretoria",---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/1999/4343,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/1999/4343,Statements > Monetary Policy Statements,html,,9623,,,,,,,,[],,data\raw_texts\1999-11-24_4343.txt,ok,,,False,,,out_of_scope_pre_inflation_targeting,True
2000-01-13,"Jan 13, 2000, 2:00:00 AM",2000-01-13: Statement of the Monetary Policy Committee : detailed assessment of changes in general economic conditions,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4341,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4341,Statements > Monetary Policy Statements,html,,26093,,,,,,,,[],,data\raw_texts\2000-01-13_4341.txt,ok,,,False,,,out_of_scope_pre_inflation_targeting,True
2000-02-22,"Feb 22, 2000, 2:00:00 AM",2000-02-22: Postponement of the Monetary Policy Committee Meeting,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4340,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4340,Statements > Monetary Policy Statements,html,,1369,,,,,,,,[],,data\raw_texts\2000-02-22_4340.txt,ok,,,True,,,no_data,True
2000-03-02,"Mar 2, 2000, 2:00:00 AM",2000-03-02: Statement of the Monetary Policy Committee : main conclusions,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4339,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4339,Statements > Monetary Policy Statements,html,,25207,,,,,,,,[],,data\raw_texts\2000-03-02_4339.txt,ok,,,True,,,no_data,True
2000-03-20,"Mar 20, 2000, 2:00:00 AM",2000-03-20: Statement issued by the South African Reserve Bank after the first Monetary Policy Forum,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4338,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4338,Statements > Monetary Policy Statements,html,,7371,,,,,,,,[],,data\raw_texts\2000-03-20_4338.txt,ok,,,True,,,no_data,True
2000-04-06,"Apr 6, 2000, 2:00:00 AM",2000-04-06: Statement of the Monetary Policy Committee : discussed in some detail recent international and domestic economic developments and the current monetary policy stance,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4337,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4337,Statements > Monetary Policy Statements,html,,40009,,,hold,0,,In view of the above circumstances the Monetary Policy Committee has decided that the current level of the repurchase rate of the Reserve Bank should be maintained.,,[],,data\raw_texts\2000-04-06_4337.txt,ok,,,True,,hold,regex_fallback_no_series_coverage,True
2000-05-19,"May 19, 2000, 2:00:00 AM",2000-05-19: Statement of the Monetary Policy Committee : made a detailed assessment of recent economic and financial market developments,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4336,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4336,Statements > Monetary Policy Statements,html,,26077,,,,,,,,[],,data\raw_texts\2000-05-19_4336.txt,ok,,,True,,,no_data,True
2000-06-15,"Jun 15, 2000, 2:00:00 AM",2000-06-15: Statement of the Monetary Policy Committee : analysed recent international and domestic economic developments and reviewed the monetary policy stance,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4335,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4335,Statements > Monetary Policy Statements,html,,25305,,,,,,,,[],,data\raw_texts\2000-06-15_4335.txt,ok,,,True,,,no_data,True
2000-08-11,"Aug 11, 2000, 2:00:00 AM",2000-08-11: Statement of the Monetary Policy Committee : reviewed economic conditions and the monetary policy stance,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4334,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4334,Statements > Monetary Policy Statements,html,,23791,,,,,,,,[],,data\raw_texts\2000-08-11_4334.txt,ok,,,True,,,no_data,True
2000-09-21,"Sep 21, 2000, 2:00:00 AM",2000-09-21: Statement of the Monetary Policy Committee : reviewed international and domestic economic conditions and the monetary policy stance,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4333,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4333,Statements > Monetary Policy Statements,html,,24823,,,,,,,,[],,data\raw_texts\2000-09-21_4333.txt,ok,,,True,,,no_data,True
2000-10-16,"Oct 16, 2000, 2:00:00 AM",2000-10-16: Statement of the Monetary Policy Committee : to review the effect of recent developments on the outlook for inflation in South Africa,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4332,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4332,Statements > Monetary Policy Statements,html,,3681,,,hike,,,"The Committee is of the opinion that these steps may lead to an increase of approximately 25 basis points in the repurchase rate, but the actual increase will be determined at the repo auctions.",,[],,data\raw_texts\2000-10-16_4332.txt,ok,,,True,,hike,regex_fallback_no_series_coverage,True
2000-11-16,"Nov 16, 2000, 2:00:00 AM",2000-11-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to arrive at a decision regarding the monetary policy stance,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4331,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2000/4331,Statements > Monetary Policy Statements,html,,25163,,,,,,,,[],,data\raw_texts\2000-11-16_4331.txt,ok,,,True,,,no_data,True
2001-01-19,"Jan 19, 2001, 2:00:00 AM",2001-01-19: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments in order to evaluate the monetary policy stance.,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2001/4330,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2001/4330,Statements > Monetary Policy Statements,html,,27943,,,,,,,,[],,data\raw_texts\2001-01-19_4330.txt,ok,,,True,,,no_data,True
2001-03-16,"Mar 16, 2001, 2:00:00 AM",2001-03-16: Statement of the Monetary Policy Committee : reviewed current and likely future economic developments to evaluate the monetary policy stance,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2001/4329,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2001/4329,Statements > Monetary Policy Statements,html,,25405,,,,,,,,[],,data\raw_texts\2001-03-16_4329.txt,ok,,,True,,,no_data,True
2001-04-25,"Apr 25, 2001, 2:00:00 AM",2001-04-25: Statement of the Monetary Policy Committee evaluated the monetary policy stance,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2001/4328,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2001/4328,Statements > Monetary Policy Statements,html,,23811,,,,,,,,[],,data\raw_texts\2001-04-25_4328.txt,ok,,,True,,,no_data,True
2001-06-14,"Jun 14, 2001, 2:00:00 AM",2001-06-14: Statement of the Monetary Policy Committee : analysed international and domestic economic developments in order to evaluate the monetary policy stance,---,https://www.resbank.co.za/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2001/4327,/content/sarb-project/en/home/publications/publication-detail-pages/statements/monetary-policy-statements/2001/4327,Statements > Monetary Policy Statements,html,,28567,,,,,,,,[],,data\raw_texts\2001-06-14_4327.txt,ok,,,True,,,no_data,True
